filterKey;filterName;filterValue;filterCode
filter_color;Farbe;alu;f71612
filter_color;Farbe;schwarz, rosa;f504281
filter_color;Farbe;kolonial;f120003
filter_color;Farbe;braun, schwarz;f486169
filter_color;Farbe;cognac;f554344
filter_color;Farbe;champagner;f13112
