altrosa
altrose
alu
anthrazit
aqua
barun
baun
beig
Beige
black
Blau
blau-weiß
bonzefarben
Braun
brombeere
bronze
bronzefarbe
bronzefarben
buchefarben
camel
camonflage
carbon
champagner
champagnerfarben
chrome
chromefarben
cognac
creme
cremefarben
dunkelblau
dunkelbraun
dunkelgrau
dunkelgrün
dunkelrosa
edelstahlfarben
eichefarben
elfenbeinfarben
Espresso
farb-Set
farblos
farblose
flieder
fuchsia
gau
gelaugt
gemustert
geölt
golbfarben
gold
goldfarben
goldfarben|goldfarben
granitfarben
graphit
Grau
grau melange
grau-beige
gruen
Grün
Hellblau
hellbraun
hellgrau
Holz dunkel
Holz hell
khaki
Klarglas
kolonial
kolonialfarben
koralle
kupferfarben
LaFleur
Lila
lila|lila
marine
messingfarben
metall
mint
mocca
mokka
mossgrün
multi
multicolor
nature
nussbaumfarben
oliv
Orange
orangefarben
petrol
Pink
rau
Rosa
rosa|rosa
rose
rosefarben
rosegold
rosegoldfarben
rosenholz
rosé
roségold
Rot
rot und schwarz
rot-grau
rot-schwarz
rot/weiß/grau
rotbuchefarben
rotgold
royalblau
sand
schoko
Schwarz
Schwarzglas
senf
siberfarben
siklberfarben
Silber
silber-grau
silberfarbe
silberfarben
smaragd
stein
terrakotta
Toaster
transparent
Türkis
türkis-blau
violett
weinrot
weiss
Weiß
weiß-grau
Weißglas
